track_num,rh_diff,spring_rate,!laptime,minAeroD,maxAeroD,minAeroLF,maxAeroLF,minAeroLR,maxAeroLR,AXvehicle,AYvehicle,minRideFL,maxRideFL,minRideFR,maxRideFR,minRideRL,maxRideRL,minRideRR,maxRideRR,minRollSrel,maxRollSrel,slipaFL,slipaFR,slipaRL,slipaRR,sliprFL,sliprFR,sliprRL,sliprRR,speed,yawa,yawv,minSteeringSignal,maxSteeringSignal,minSteeringWheelAngle,maxSteeringWheelAngle,minSteerL,maxSteerL,minSteerR,maxSteerR,minYawPath,avgYawPath,maxYawPath,FzFL,FzFR,FzRL,FzRR
4,-1.11E-16,400,118.27,12.634,289.15,-313.96,-12.389,-485.02,-22.107,1.2384,2.5508,0.59945,1.5476,0.52697,1.5469,0.32691,1.6216,0.31557,1.6206,-0.78341,0.80617,11.987,11.633,11.24,10.454,0.027407,0.029193,0.093642,0.093783,73.807,584.88,115.79,-112.67,126,-112.67,126,-26.507,33.255,-29.276,29.796,-12.854,0.22401,9.1442,507.43,540.67,519.24,518.54
4,-1.11E-16,410,118.28,12.645,289.29,-316.68,-12.398,-486.15,-22.127,1.2431,2.5542,0.60361,1.5415,0.52657,1.5415,0.3481,1.6151,0.33699,1.6138,-0.7671,0.79478,12.421,12.046,11.242,10.462,0.027197,0.028785,0.093419,0.093497,73.796,711.1,115.93,-112.61,125.87,-112.61,125.87,-26.493,33.214,-29.26,29.762,-12.435,0.2185,9.1475,511.44,547.55,521.8,521.19
4,-1.11E-16,420,114.97,12.656,289.44,-316.77,-12.408,-487.27,-22.147,1.2433,2.6102,0.61683,1.537,0.54361,1.5362,0.36824,1.6088,0.3572,1.6074,-0.77648,0.7817,12.705,12.341,11.517,10.723,0.027581,0.028728,0.093156,0.093813,73.787,402.85,116.09,-112.56,125.8,-112.56,125.8,-26.48,33.195,-29.244,29.747,-12.698,0.10159,9.4164,510.53,545.32,524.17,523.67
4,-1.11E-16,430,118.21,12.668,289.57,-317.7,-12.418,-488.33,-22.166,1.2413,2.5803,0.61761,1.5311,0.54953,1.5308,0.38784,1.6028,0.37688,1.6013,-0.74667,0.77056,12.823,12.427,11.492,10.7,0.027338,0.028207,0.093071,0.094315,73.775,443.9,116.25,-123.4,125.84,-123.4,125.84,-29.148,33.207,-32.47,29.756,-12.23,0.21141,9.3926,515.97,548.93,526.28,525.89
4,-1.11E-16,440,118.29,12.678,289.68,-321.2,-12.427,-489.33,-22.185,1.24,2.5595,0.63057,1.5276,0.54439,1.5255,0.40592,1.5971,0.39526,1.5951,-0.7345,0.75993,12.137,11.773,11.315,10.532,0.027058,0.028637,0.093406,0.095436,73.762,632.75,116.5,-112.49,125.87,-112.49,125.87,-26.464,33.215,-29.224,29.763,-12.813,0.21084,9.2147,514.69,558.12,528.36,528.03
4,-1.11E-16,450,118.32,12.686,289.8,-321.8,-12.434,-490.31,-22.199,1.2416,2.5814,0.64772,1.5227,0.55635,1.5207,0.4231,1.5915,0.41284,1.588,-0.7338,0.75265,13.299,12.877,11.58,10.785,0.027936,0.028718,0.093668,0.093895,73.751,596.02,116.58,-130.23,125.48,-130.23,125.48,-30.854,33.096,-34.557,29.665,-12.449,0.21193,9.4749,510.6,558.21,530.29,529.99
4,-1.11E-16,460,118.28,12.69,289.94,-323.31,-12.437,-491.28,-22.205,1.2354,2.5622,0.65472,1.5192,0.56473,1.5167,0.43967,1.5869,0.42965,1.5824,-0.72218,0.74364,12.666,12.277,11.329,10.548,0.027329,0.027222,0.092452,0.095391,73.742,454.34,117.02,-112.56,125.19,-112.56,125.19,-26.48,33.01,-29.243,29.595,-12.524,0.20853,9.2282,510.71,559.74,532.05,531.81
4,-1.11E-16,470,118.25,12.69,290.07,-325.59,-12.437,-492.19,-22.206,1.2359,2.5642,0.6589,1.5146,0.56971,1.5135,0.45446,1.5816,0.44499,1.5755,-0.71549,0.73283,12.667,12.278,11.317,10.537,0.027439,0.027795,0.09426,0.093922,73.732,472.29,115.81,-112.23,124.81,-112.23,124.81,-26.399,32.894,-29.147,29.5,-12.408,0.20694,9.2156,510.53,562.86,533.95,533.67
4,-1.11E-16,480,118.21,12.69,290.21,-323.38,-12.436,-493.07,-22.206,1.2363,2.5705,0.65847,1.5109,0.59417,1.5083,0.46895,1.5766,0.45982,1.5706,-0.70993,0.72492,12.809,12.412,11.428,10.643,0.027698,0.028364,0.095543,0.094095,73.722,1407.4,115.91,-114.02,124.55,-114.02,124.55,-26.84,32.816,-29.681,29.436,-13.053,0.20316,9.3229,514.85,554.67,535.66,535.4
4,-1.11E-16,490,118.25,12.69,290.34,-323.34,-12.436,-493.92,-22.206,1.2395,2.5657,0.6681,1.5068,0.60646,1.5047,0.48307,1.5717,0.474,1.5661,-0.702,0.71411,12.618,12.231,11.22,10.448,0.027576,0.026679,0.093894,0.094704,73.712,584.36,115.93,-112.5,124.31,-112.5,124.31,-26.466,32.743,-29.227,29.376,-12.888,0.2088,9.1216,509.35,553.27,537.2,537.02
4,-1.11E-16,500,118.26,12.687,290.47,-324.44,-12.432,-494.75,-22.201,1.2428,2.5737,0.67004,1.504,0.61439,1.5049,0.49663,1.567,0.48771,1.5614,-0.69778,0.70696,13.066,12.656,11.394,10.613,0.028694,0.026423,0.094216,0.093643,73.702,586.13,116,-112.11,124.05,-112.11,124.05,-26.371,32.664,-29.112,29.311,-13.408,0.20799,9.2896,511.47,554.12,538.64,538.5
4,-1.11E-16,510,118.29,12.679,290.59,-325.36,-12.424,-495.56,-22.188,1.2418,2.5675,0.67498,1.5002,0.62285,1.4978,0.50948,1.5623,0.50063,1.5573,-0.68945,0.70336,15.958,15.174,11.322,10.546,0.028669,0.026432,0.094107,0.094025,73.693,587.62,116.02,-112.31,123.78,-112.31,123.78,-26.42,32.583,-29.171,29.245,-12.827,0.20839,9.2177,510.98,554.44,540.05,539.97
4,-1.11E-16,520,118.28,12.676,290.72,-326.44,-12.421,-496.36,-22.181,1.2403,2.5685,0.67723,1.4969,0.63048,1.4977,0.52203,1.558,0.51318,1.5531,-0.68354,0.69848,12.784,12.388,11.314,10.539,0.028092,0.026287,0.093385,0.094658,73.684,498.1,116.1,-112.03,123.61,-112.03,123.61,-26.352,32.53,-29.09,29.201,-13.275,0.20752,9.2094,512.43,555.11,541.31,541.32
4,-1.11E-16,530,118.27,12.669,290.84,-328.43,-12.413,-497.14,-22.17,1.2349,2.5608,0.67813,1.494,0.63146,1.4902,0.53353,1.5537,0.52491,1.5488,-0.67521,0.69295,12.609,12.265,11.254,10.484,0.027306,0.026466,0.093686,0.094114,73.675,472.66,116.09,-111.77,123.31,-111.77,123.31,-26.289,32.44,-29.015,29.127,-12.458,0.20604,9.1502,515.93,559.49,542.68,542.69
4,-1.11E-16,540,118.3,12.661,290.97,-327.65,-12.405,-498.02,-22.157,1.2441,2.5608,0.68089,1.4918,0.63952,1.4906,0.54478,1.5495,0.53629,1.5451,-0.6701,0.68513,12.687,12.297,11.224,10.457,0.027518,0.026666,0.094123,0.093449,73.666,467.8,116.14,-111.45,123.15,-111.45,123.15,-26.21,32.393,-28.92,29.089,-12.37,0.20528,9.1201,517.21,557.77,543.92,543.97
4,-1.11E-16,550,118.27,12.651,291.1,-328.23,-12.394,-498.94,-22.139,1.2395,2.5711,0.68762,1.4864,0.6426,1.4865,0.55582,1.5455,0.54737,1.5411,-0.66619,0.68082,12.975,12.569,11.337,10.565,0.027608,0.027017,0.093755,0.095148,73.657,513.46,116.16,-116.35,122.93,-116.35,122.93,-27.408,32.326,-30.362,29.034,-12.434,0.20625,9.231,514.45,558.63,545.03,545.14
4,-1.11E-16,560,115.03,12.643,291.23,-331.5,-12.386,-499.83,-22.126,1.2432,2.6502,0.69603,1.4861,0.63829,1.4842,0.56642,1.5416,0.55805,1.5375,-0.66476,0.67478,13.277,12.9,11.233,10.468,0.027219,0.027456,0.093927,0.094141,73.649,571.98,116.22,-110.87,122.78,-110.87,122.78,-26.069,32.28,-28.75,28.996,-11.95,0.10193,9.1283,510.29,567.72,546.08,546.25
4,-1.11E-16,570,115.03,12.633,291.29,-329.39,-12.375,-500.5,-22.108,1.241,2.635,0.69841,1.4804,0.65059,1.4796,0.57602,1.5378,0.56789,1.5338,-0.65789,0.66981,13.31,12.929,11.161,10.401,0.02753,0.027345,0.094163,0.094236,73.642,659.37,116.15,-110.59,122.64,-110.59,122.64,-26,32.238,-28.668,28.961,-12.478,0.096953,9.0573,511.91,558.28,547.29,547.46
4,-1.11E-16,580,115,12.621,291.33,-329.93,-12.364,-501.1,-22.089,1.2424,2.6435,0.70525,1.4779,0.65492,1.4758,0.58559,1.5341,0.5776,1.5301,-0.65231,0.6622,23.035,21.219,11.121,10.364,0.034914,0.027159,0.093437,0.094294,73.632,660.82,116.14,-110.28,139.76,-110.28,139.76,-25.926,37.537,-28.58,33.272,-12.032,0.10114,9.018,510.12,557.71,548.35,548.54
4,-1.11E-16,590,118.33,12.611,291.4,-330.64,-12.353,-501.72,-22.07,1.2448,2.5604,0.69951,1.4781,0.65913,1.474,0.59495,1.5306,0.58704,1.5267,-0.64036,0.65498,12.351,11.979,11.218,10.457,0.027134,0.026629,0.093816,0.093209,73.626,645.88,116.16,-116.75,122.31,-116.75,122.31,-27.522,32.139,-30.516,28.879,-12.509,0.19983,9.1126,519.08,557.35,549.31,549.55
4,0.05,100,126.69,12.22,194.58,-217.75,-11.065,-315.13,-20.455,1.2522,2.0523,-0.17789,2.7545,-0.31774,2.5789,-1.1194,2.4153,-1.3113,2.3575,-2.1572,1.9792,12.199,11.806,8.1433,7.7677,0.063742,0.044632,0.095356,0.096155,60.825,375.6,114.57,-113.79,127.49,-113.79,127.49,-26.781,33.709,-29.605,30.167,-10.031,0.16157,8.2411,448.58,469.4,330.85,336.39
4,0.05,110,124.96,12.248,195.65,-214.72,-11.186,-316.78,-20.596,1.2521,1.7681,-0.18065,2.732,-0.090888,2.7421,-1.5283,2.3355,-1.4858,2.2803,-2.156,2.1746,9.2684,9.1408,5.6661,4.6925,0.028392,0.031023,0.094415,0.094685,61.121,377.4,114.83,-113.73,127.3,-113.73,127.3,-26.766,33.652,-29.587,30.121,-10.009,0.12754,8.219,464.81,449.16,340.74,338.13
4,0.05,120,123.31,12.283,207.36,-225.88,-11.316,-334.91,-20.755,1.2519,1.7787,-0.15479,2.8724,-0.077795,2.7846,-1.5355,2.2656,-1.5002,2.2166,-2.2926,2.2151,9.209,9.0752,6.018,5.0303,0.081615,0.06703,0.094522,0.095672,62.731,402.39,115.1,-113.85,127.47,-113.85,127.47,-26.795,33.703,-29.622,30.162,-9.9823,0.11236,8.1967,476.75,463.1,348.62,346.87
4,0.05,130,121.54,12.312,213.8,-218.9,-11.434,-337.88,-20.89,1.2517,1.8694,-0.011642,2.8321,0.059286,2.7214,-1.5328,2.2077,-1.488,2.1628,-2.2521,2.1542,11.102,10.792,7.2344,5.3341,0.075908,0.035762,0.09455,0.094527,64.6,379.17,115.35,-113.83,126.99,-113.83,126.99,-26.792,33.557,-29.618,30.043,-9.9666,0.14797,8.1736,464.6,451.43,353.9,355.15
4,0.05,140,122.04,12.343,225.21,-229.26,-11.533,-351.27,-21.007,1.2501,1.9488,-0.018658,2.4047,0.061865,2.5647,-1.4585,2.1587,-1.277,2.1164,-1.8936,1.9748,10.713,10.44,7.5688,5.817,0.03213,0.064101,0.094026,0.094409,66.301,380.06,115.6,-113.72,127.45,-113.72,127.45,-26.764,33.697,-29.585,30.157,-9.934,0.15634,8.1507,481.64,465.27,364.21,362.06
