spring,track,clutchspeed,laptime,maxspeed,minspeed,avgspeed,F_Ride_AVG,R_Ride_AVG,F_Ride_MIN,R_Ride_MIN,F_Ride_MAX,R_Ride_MAX
455,3,2500,55.08,71.546,16.183,38.373,1.1788,1.0981,0.70914,0.72256,1.3676,1.423
460,3,2500,55.092,71.571,16.153,38.364,1.1794,1.0995,0.71272,0.72697,1.3663,1.423
465,3,2500,55.086,71.57,16.168,38.368,1.1799,1.1009,0.71787,0.73155,1.3655,1.4217
470,3,2500,55.083,71.565,16.162,38.37,1.1804,1.1022,0.71653,0.73601,1.3644,1.4136
475,3,2500,55.095,71.572,16.155,38.363,1.1809,1.1036,0.7246,0.74035,1.3634,1.4125
480,3,2500,55.098,71.569,16.146,38.36,1.1814,1.105,0.72262,0.74462,1.3623,1.4094
485,3,2500,55.08,71.57,16.14,38.372,1.182,1.1062,0.73036,0.74878,1.3613,1.4103
490,3,2500,55.089,71.578,16.133,38.367,1.1825,1.1075,0.73657,0.75265,1.3603,1.4106
495,3,2500,55.089,71.577,16.127,38.367,1.183,1.1087,0.73837,0.75649,1.3595,1.4087
500,3,2500,55.095,71.581,16.096,38.362,1.1835,1.1099,0.74018,0.7602,1.3585,1.4149
505,3,2500,55.083,71.6,16.111,38.372,1.1839,1.1111,0.74402,0.76356,1.3576,1.4055
510,3,2500,55.083,71.603,16.105,38.371,1.1844,1.1123,0.74566,0.7671,1.3565,1.4034
515,3,2500,55.098,71.586,16.098,38.361,1.1848,1.1136,0.74946,0.77067,1.3557,1.4057
520,3,2500,55.095,71.587,16.092,38.363,1.1853,1.1147,0.75274,0.77395,1.3547,1.405
525,3,2500,55.086,71.586,16.085,38.368,1.1857,1.1158,0.75879,0.77713,1.354,1.403
530,3,2500,55.08,71.589,16.079,38.372,1.1862,1.1169,0.7617,0.78036,1.3533,1.4014
535,3,2500,55.092,71.587,16.048,38.364,1.1866,1.118,0.76373,0.78348,1.3509,1.404
540,3,2500,55.074,71.596,16.063,38.378,1.1871,1.1189,0.76352,0.78652,1.3516,1.3986
545,3,2500,55.077,71.595,16.057,38.375,1.1874,1.1201,0.76822,0.78942,1.3509,1.3997
550,3,2500,55.077,71.607,16.05,38.376,1.1879,1.121,0.77249,0.79232,1.3476,1.4001
555,3,2500,55.068,71.593,16.044,38.381,1.1882,1.122,0.77762,0.79524,1.3493,1.3905
560,3,2500,55.083,71.596,16.037,38.371,1.1886,1.1231,0.77972,0.79809,1.3486,1.3894
565,3,2500,55.077,71.604,16.03,38.375,1.189,1.1241,0.78139,0.80084,1.3477,1.3866
570,3,2500,55.077,71.595,16.024,38.376,1.1894,1.1251,0.78782,0.80359,1.3471,1.3874
575,3,2500,55.059,71.601,16.017,38.389,1.1897,1.126,0.78898,0.80639,1.3463,1.3843
580,3,2500,55.056,71.61,16.011,38.389,1.1901,1.1269,0.79157,0.80957,1.3457,1.3854
585,3,2500,55.065,71.606,16.004,38.383,1.1905,1.1279,0.79373,0.81336,1.3449,1.3855
590,3,2500,55.05,71.603,15.998,38.394,1.1908,1.1287,0.79653,0.81699,1.3443,1.3863
595,3,2500,55.047,71.611,15.991,38.396,1.1912,1.1296,0.80104,0.82045,1.3436,1.3841
600,3,2500,55.059,71.608,15.985,38.389,1.1915,1.1305,0.80055,0.82399,1.343,1.384
100,4,2500,115.65,77.75,14.988,40.68,1.1136,0.89711,0.20521,0.12358,1.7617,1.9387
105,4,2500,115.56,77.756,14.997,40.71,1.1109,0.89529,0.21441,0.12662,1.7334,1.9106
110,4,2500,115.58,77.765,15.006,40.705,1.1089,0.89391,0.22156,0.12976,1.7192,1.8622
115,4,2500,115.54,77.772,15.012,40.719,1.1072,0.89357,0.23024,0.13304,1.6936,1.8351
120,4,2500,115.6,77.777,15.02,40.695,1.1061,0.89378,0.23174,0.13647,1.6683,1.7992
125,4,2500,115.62,77.782,15.027,40.691,1.1056,0.89386,0.24445,0.14005,1.6582,1.7768
130,4,2500,115.56,77.787,15.034,40.711,1.1046,0.89512,0.24562,0.1438,1.6419,1.7306
135,4,2500,115.56,77.792,15.039,40.712,1.1047,0.89565,0.26231,0.14773,1.6273,1.7617
140,4,2500,115.54,77.794,15.041,40.718,1.1044,0.89726,0.27227,0.1519,1.6144,1.7012
145,4,2500,115.57,77.792,15.041,40.706,1.1045,0.89925,0.27087,0.1563,1.6025,1.6847
150,4,2500,115.58,77.79,15.043,40.704,1.1044,0.9018,0.27828,0.16097,1.5903,1.6712
155,4,2500,115.58,77.788,15.041,40.704,1.105,0.90383,0.28489,0.16589,1.5721,1.6593
160,4,2500,115.56,77.783,15.041,40.71,1.1053,0.90621,0.28973,0.17113,1.5681,1.6451
165,4,2500,115.61,77.772,15.038,40.694,1.106,0.90885,0.29299,0.17672,1.5603,1.6571
170,4,2500,115.58,77.756,15.037,40.704,1.1066,0.91142,0.3045,0.18267,1.5512,1.6172
175,4,2500,115.6,77.743,15.034,40.695,1.1074,0.91415,0.30864,0.18889,1.5427,1.6482
180,4,2500,115.58,77.732,15.03,40.704,1.1082,0.91691,0.31284,0.19533,1.5339,1.6499
185,4,2500,115.6,77.712,15.003,40.695,1.109,0.91994,0.31618,0.20202,1.5281,1.6076
190,4,2500,115.57,77.692,15.023,40.707,1.1097,0.92299,0.32967,0.2088,1.5208,1.599
195,4,2500,115.61,77.67,15.019,40.692,1.1108,0.92608,0.33391,0.21579,1.5129,1.5855
200,4,2500,115.58,77.654,15.015,40.701,1.1117,0.92907,0.33304,0.22293,1.5066,1.5845
205,4,2500,115.64,77.632,15.012,40.68,1.1127,0.93251,0.33661,0.23041,1.5011,1.5523
210,4,2500,115.61,77.61,15.012,40.694,1.1135,0.93578,0.34917,0.23816,1.496,1.5441
215,4,2500,115.65,77.587,15.012,40.678,1.1145,0.93906,0.34898,0.24618,1.4905,1.5411
220,4,2500,115.67,77.557,15.01,40.673,1.1154,0.9425,0.36098,0.25459,1.48,1.5303
225,4,2500,115.69,77.534,15.004,40.666,1.1165,0.9457,0.36501,0.26319,1.4752,1.5406
230,4,2500,115.67,77.512,14.997,40.672,1.1175,0.9489,0.36828,0.27209,1.4751,1.5518
235,4,2500,115.7,77.489,14.99,40.661,1.1185,0.95238,0.37904,0.28128,1.4705,1.5389
240,4,2500,115.68,77.477,14.982,40.669,1.1194,0.95557,0.38719,0.29061,1.4667,1.5455
245,4,2500,115.72,77.447,14.975,40.654,1.1205,0.9588,0.38169,0.30052,1.4624,1.5096
250,4,2500,115.73,77.427,14.967,40.652,1.1214,0.96219,0.38976,0.31054,1.4546,1.5061
255,4,2500,115.7,77.408,14.96,40.662,1.1226,0.96502,0.41084,0.32079,1.4547,1.503
260,4,2500,115.74,77.393,14.951,40.645,1.1234,0.9685,0.41937,0.33127,1.4473,1.5023
265,4,2500,115.78,77.376,14.945,40.634,1.1244,0.97185,0.40657,0.34202,1.4432,1.4966
270,4,2500,115.79,77.361,14.936,40.631,1.1254,0.975,0.43525,0.35298,1.4434,1.4919
275,4,2500,115.78,77.348,14.927,40.634,1.1264,0.97782,0.442,0.3641,1.4405,1.4827
280,4,2500,115.77,77.338,14.92,40.636,1.1275,0.98081,0.43539,0.37534,1.4375,1.4798
285,4,2500,115.79,77.33,14.912,40.628,1.1283,0.9843,0.44163,0.38668,1.4341,1.485
290,4,2500,115.81,77.321,14.903,40.622,1.1293,0.98729,0.44448,0.39807,1.4314,1.4804
295,4,2500,115.79,77.318,14.895,40.63,1.1302,0.99007,0.455,0.4093,1.4282,1.4672
300,4,2500,115.78,77.314,14.888,40.634,1.131,0.99315,0.462,0.42028,1.4255,1.4748
305,4,2500,115.8,77.309,14.879,40.625,1.1322,0.99588,0.46562,0.4299,1.4228,1.4703
310,4,2500,115.85,77.308,14.87,40.611,1.1331,0.99913,0.47287,0.43845,1.4199,1.4673
315,4,2500,115.86,77.305,14.862,40.605,1.1342,1.0018,0.47582,0.44682,1.4179,1.4631
320,4,2500,115.83,77.305,14.855,40.615,1.1351,1.0046,0.48361,0.45507,1.4156,1.4691
325,4,2500,115.85,77.306,14.846,40.607,1.1362,1.0074,0.48227,0.46327,1.4126,1.4673
330,4,2500,115.86,77.306,14.838,40.604,1.1372,1.0099,0.48614,0.47147,1.411,1.464
335,4,2500,115.89,77.306,14.831,40.595,1.1381,1.0128,0.4928,0.47962,1.4085,1.4628
340,4,2500,115.87,77.306,14.822,40.6,1.1391,1.0153,0.49943,0.48766,1.4064,1.4606
345,4,2500,115.9,77.305,14.814,40.59,1.1401,1.0179,0.51223,0.49542,1.4042,1.4577
350,4,2500,115.91,77.303,14.807,40.586,1.1411,1.0204,0.51577,0.5029,1.4025,1.4532
355,4,2500,115.92,77.302,14.799,40.583,1.142,1.023,0.52023,0.51027,1.4002,1.4502
360,4,2500,115.91,77.297,14.789,40.585,1.1429,1.0254,0.53694,0.51773,1.3985,1.4465
365,4,2500,115.93,77.296,14.783,40.582,1.1438,1.0279,0.54508,0.52495,1.3965,1.4439
370,4,2500,115.96,77.294,14.774,40.571,1.1447,1.0303,0.55057,0.53215,1.3946,1.441
375,4,2500,115.96,77.291,14.744,40.57,1.1456,1.0327,0.54612,0.53936,1.3932,1.4382
380,4,2500,115.97,77.292,14.759,40.569,1.1464,1.035,0.54225,0.54592,1.3914,1.4368
385,4,2500,115.95,77.289,14.75,40.572,1.1473,1.0371,0.54735,0.55281,1.3875,1.4328
390,4,2500,115.94,77.286,14.744,40.577,1.1481,1.0393,0.55415,0.55974,1.3881,1.4307
395,4,2500,115.96,77.283,14.735,40.569,1.1491,1.0414,0.55842,0.56646,1.386,1.4279
400,4,2500,115.97,77.279,14.729,40.566,1.1499,1.0435,0.56651,0.57334,1.3853,1.4261
405,4,2500,115.97,77.277,14.72,40.566,1.1507,1.0457,0.57163,0.5798,1.3836,1.4232
410,4,2500,115.97,77.279,14.713,40.566,1.1515,1.0476,0.57651,0.58573,1.3824,1.4208
415,4,2500,115.98,77.273,14.704,40.561,1.1522,1.0498,0.5928,0.59229,1.3808,1.419
