,track,tw,wb,df_scale,drag_scale,vehicle_weight
0,0,40,60.5,0.40350877192983137,0.5800000000000041,572.4642857142857
1,0,40,61.5,0.40350877192983137,0.5800000000000041,573.0267857142857
2,0,40,62.5,0.40350877192983137,0.5800000000000041,573.5892857142857
3,0,40,63.5,0.40350877192983137,0.5800000000000041,574.1517857142857
4,0,40,64.5,0.40350877192983137,0.5800000000000041,574.7142857142857
5,0,40,65.5,0.40350877192983137,0.5800000000000041,575.2767857142857
6,0,40,66.5,0.40350877192983137,0.5800000000000041,575.8392857142857
7,0,40,67.5,0.40350877192983137,0.5800000000000041,576.4017857142857
8,0,40,68.5,0.40350877192983137,0.5800000000000041,576.9642857142857
9,0,40,69.5,0.40350877192983137,0.5800000000000041,577.5267857142857
10,0,40,70.5,0.40350877192983137,0.5800000000000041,578.0892857142857
11,0,40,71.5,0.40350877192983137,0.5800000000000041,578.6517857142857
12,0,40,72.5,0.40350877192983137,0.5800000000000041,579.2142857142857
13,0,40,73.5,0.40350877192983137,0.5800000000000041,579.7767857142857
14,0,40,74.5,0.40350877192983137,0.5800000000000041,580.3392857142857
15,0,40,75.5,0.40350877192983137,0.5800000000000041,580.9017857142857
16,0,40,76.5,0.40350877192983137,0.5800000000000041,581.4642857142857
17,0,40,77.5,0.40350877192983137,0.5800000000000041,582.0267857142857
18,0,40,78.5,0.40350877192983137,0.5800000000000041,582.5892857142857
19,0,40,79.5,0.40350877192983137,0.5800000000000041,583.1517857142857
20,0,40,80.5,0.40350877192983137,0.5800000000000041,583.7142857142857
21,0,41,60.5,0.4631578947368482,0.6220000000000037,575.1178571428571
22,0,41,61.5,0.4631578947368482,0.6220000000000037,575.6803571428571
23,0,41,62.5,0.4631578947368482,0.6220000000000037,576.2428571428571
24,0,41,63.5,0.4631578947368482,0.6220000000000037,576.8053571428571
25,0,41,64.5,0.4631578947368482,0.6220000000000037,577.3678571428571
26,0,41,65.5,0.4631578947368482,0.6220000000000037,577.9303571428571
27,0,41,66.5,0.4631578947368482,0.6220000000000037,578.4928571428571
28,0,41,67.5,0.4631578947368482,0.6220000000000037,579.0553571428571
29,0,41,68.5,0.4631578947368482,0.6220000000000037,579.6178571428571
30,0,41,69.5,0.4631578947368482,0.6220000000000037,580.1803571428571
31,0,41,70.5,0.4631578947368482,0.6220000000000037,580.7428571428571
32,0,41,71.5,0.4631578947368482,0.6220000000000037,581.3053571428571
33,0,41,72.5,0.4631578947368482,0.6220000000000037,581.8678571428571
34,0,41,73.5,0.4631578947368482,0.6220000000000037,582.4303571428571
35,0,41,74.5,0.4631578947368482,0.6220000000000037,582.9928571428571
36,0,41,75.5,0.4631578947368482,0.6220000000000037,583.5553571428571
37,0,41,76.5,0.4631578947368482,0.6220000000000037,584.1178571428571
38,0,41,77.5,0.4631578947368482,0.6220000000000037,584.6803571428571
39,0,41,78.5,0.4631578947368482,0.6220000000000037,585.2428571428571
40,0,41,79.5,0.4631578947368482,0.6220000000000037,585.8053571428571
41,0,41,80.5,0.4631578947368482,0.6220000000000037,586.3678571428571
42,0,42,60.5,0.522807017543865,0.6640000000000035,577.7714285714286
43,0,42,61.5,0.522807017543865,0.6640000000000035,578.3339285714286
44,0,42,62.5,0.522807017543865,0.6640000000000035,578.8964285714286
45,0,42,63.5,0.522807017543865,0.6640000000000035,579.4589285714286
46,0,42,64.5,0.522807017543865,0.6640000000000035,580.0214285714286
47,0,42,65.5,0.522807017543865,0.6640000000000035,580.5839285714286
48,0,42,66.5,0.522807017543865,0.6640000000000035,581.1464285714286
49,0,42,67.5,0.522807017543865,0.6640000000000035,581.7089285714286
50,0,42,68.5,0.522807017543865,0.6640000000000035,582.2714285714286
51,0,42,69.5,0.522807017543865,0.6640000000000035,582.8339285714286
52,0,42,70.5,0.522807017543865,0.6640000000000035,583.3964285714286
53,0,42,71.5,0.522807017543865,0.6640000000000035,583.9589285714286
54,0,42,72.5,0.522807017543865,0.6640000000000035,584.5214285714286
55,0,42,73.5,0.522807017543865,0.6640000000000035,585.0839285714286
56,0,42,74.5,0.522807017543865,0.6640000000000035,585.6464285714286
57,0,42,75.5,0.522807017543865,0.6640000000000035,586.2089285714286
58,0,42,76.5,0.522807017543865,0.6640000000000035,586.7714285714286
59,0,42,77.5,0.522807017543865,0.6640000000000035,587.3339285714286
60,0,42,78.5,0.522807017543865,0.6640000000000035,587.8964285714286
61,0,42,79.5,0.522807017543865,0.6640000000000035,588.4589285714286
62,0,42,80.5,0.522807017543865,0.6640000000000035,589.0214285714286
63,0,43,60.5,0.5824561403508823,0.7060000000000031,580.425
64,0,43,61.5,0.5824561403508823,0.7060000000000031,580.9875
65,0,43,62.5,0.5824561403508823,0.7060000000000031,581.55
66,0,43,63.5,0.5824561403508823,0.7060000000000031,582.1125
67,0,43,64.5,0.5824561403508823,0.7060000000000031,582.675
68,0,43,65.5,0.5824561403508823,0.7060000000000031,583.2375
69,0,43,66.5,0.5824561403508823,0.7060000000000031,583.8
70,0,43,67.5,0.5824561403508823,0.7060000000000031,584.3625
71,0,43,68.5,0.5824561403508823,0.7060000000000031,584.925
72,0,43,69.5,0.5824561403508823,0.7060000000000031,585.4875
73,0,43,70.5,0.5824561403508823,0.7060000000000031,586.05
74,0,43,71.5,0.5824561403508823,0.7060000000000031,586.6125
75,0,43,72.5,0.5824561403508823,0.7060000000000031,587.175
76,0,43,73.5,0.5824561403508823,0.7060000000000031,587.7375
77,0,43,74.5,0.5824561403508823,0.7060000000000031,588.3
78,0,43,75.5,0.5824561403508823,0.7060000000000031,588.8625
