,track,tw,wb,df_scale,drag_scale
0,0,40,60.5,0.40350877192983137,0.5800000000000041
1,0,40,61.5,0.40350877192983137,0.5800000000000041
2,0,40,62.5,0.40350877192983137,0.5800000000000041
3,0,40,63.5,0.40350877192983137,0.5800000000000041
4,0,40,64.5,0.40350877192983137,0.5800000000000041
5,0,40,65.5,0.40350877192983137,0.5800000000000041
6,0,40,66.5,0.40350877192983137,0.5800000000000041
7,0,40,67.5,0.40350877192983137,0.5800000000000041
8,0,40,68.5,0.40350877192983137,0.5800000000000041
9,0,40,69.5,0.40350877192983137,0.5800000000000041
10,0,40,70.5,0.40350877192983137,0.5800000000000041
11,0,40,71.5,0.40350877192983137,0.5800000000000041
12,0,40,72.5,0.40350877192983137,0.5800000000000041
13,0,40,73.5,0.40350877192983137,0.5800000000000041
14,0,40,74.5,0.40350877192983137,0.5800000000000041
15,0,40,75.5,0.40350877192983137,0.5800000000000041
16,0,40,76.5,0.40350877192983137,0.5800000000000041
17,0,40,77.5,0.40350877192983137,0.5800000000000041
18,0,40,78.5,0.40350877192983137,0.5800000000000041
19,0,40,79.5,0.40350877192983137,0.5800000000000041
20,0,40,80.5,0.40350877192983137,0.5800000000000041
21,0,41,60.5,0.4631578947368482,0.6220000000000037
22,0,41,61.5,0.4631578947368482,0.6220000000000037
23,0,41,62.5,0.4631578947368482,0.6220000000000037
24,0,41,63.5,0.4631578947368482,0.6220000000000037
25,0,41,64.5,0.4631578947368482,0.6220000000000037
26,0,41,65.5,0.4631578947368482,0.6220000000000037
27,0,41,66.5,0.4631578947368482,0.6220000000000037
28,0,41,67.5,0.4631578947368482,0.6220000000000037
29,0,41,68.5,0.4631578947368482,0.6220000000000037
30,0,41,69.5,0.4631578947368482,0.6220000000000037
31,0,41,70.5,0.4631578947368482,0.6220000000000037
32,0,41,71.5,0.4631578947368482,0.6220000000000037
33,0,41,72.5,0.4631578947368482,0.6220000000000037
34,0,41,73.5,0.4631578947368482,0.6220000000000037
35,0,41,74.5,0.4631578947368482,0.6220000000000037
36,0,41,75.5,0.4631578947368482,0.6220000000000037
37,0,41,76.5,0.4631578947368482,0.6220000000000037
38,0,41,77.5,0.4631578947368482,0.6220000000000037
39,0,41,78.5,0.4631578947368482,0.6220000000000037
40,0,41,79.5,0.4631578947368482,0.6220000000000037
41,0,41,80.5,0.4631578947368482,0.6220000000000037
42,0,42,60.5,0.522807017543865,0.6640000000000035
43,0,42,61.5,0.522807017543865,0.6640000000000035
44,0,42,62.5,0.522807017543865,0.6640000000000035
45,0,42,63.5,0.522807017543865,0.6640000000000035
46,0,42,64.5,0.522807017543865,0.6640000000000035
47,0,42,65.5,0.522807017543865,0.6640000000000035
48,0,42,66.5,0.522807017543865,0.6640000000000035
49,0,42,67.5,0.522807017543865,0.6640000000000035
50,0,42,68.5,0.522807017543865,0.6640000000000035
51,0,42,69.5,0.522807017543865,0.6640000000000035
52,0,42,70.5,0.522807017543865,0.6640000000000035
53,0,42,71.5,0.522807017543865,0.6640000000000035
54,0,42,72.5,0.522807017543865,0.6640000000000035
55,0,42,73.5,0.522807017543865,0.6640000000000035
56,0,42,74.5,0.522807017543865,0.6640000000000035
57,0,42,75.5,0.522807017543865,0.6640000000000035
58,0,42,76.5,0.522807017543865,0.6640000000000035
59,0,42,77.5,0.522807017543865,0.6640000000000035
60,0,42,78.5,0.522807017543865,0.6640000000000035
61,0,42,79.5,0.522807017543865,0.6640000000000035
62,0,42,80.5,0.522807017543865,0.6640000000000035
63,0,43,60.5,0.5824561403508823,0.7060000000000031
64,0,43,61.5,0.5824561403508823,0.7060000000000031
65,0,43,62.5,0.5824561403508823,0.7060000000000031
66,0,43,63.5,0.5824561403508823,0.7060000000000031
67,0,43,64.5,0.5824561403508823,0.7060000000000031
68,0,43,65.5,0.5824561403508823,0.7060000000000031
69,0,43,66.5,0.5824561403508823,0.7060000000000031
70,0,43,67.5,0.5824561403508823,0.7060000000000031
71,0,43,68.5,0.5824561403508823,0.7060000000000031
72,0,43,69.5,0.5824561403508823,0.7060000000000031
73,0,43,70.5,0.5824561403508823,0.7060000000000031
74,0,43,71.5,0.5824561403508823,0.7060000000000031
75,0,43,72.5,0.5824561403508823,0.7060000000000031
76,0,43,73.5,0.5824561403508823,0.7060000000000031
77,0,43,74.5,0.5824561403508823,0.7060000000000031
78,0,43,75.5,0.5824561403508823,0.7060000000000031
79,0,43,76.5,0.5824561403508823,0.7060000000000031
80,0,43,77.5,0.5824561403508823,0.7060000000000031
81,0,43,78.5,0.5824561403508823,0.7060000000000031
82,0,43,79.5,0.5824561403508823,0.7060000000000031
83,0,43,80.5,0.5824561403508823,0.7060000000000031
84,0,44,60.5,0.6421052631578992,0.7480000000000027
85,0,44,61.5,0.6421052631578992,0.7480000000000027
86,0,44,62.5,0.6421052631578992,0.7480000000000027
87,0,44,63.5,0.6421052631578992,0.7480000000000027
88,0,44,64.5,0.6421052631578992,0.7480000000000027
89,0,44,65.5,0.6421052631578992,0.7480000000000027
90,0,44,66.5,0.6421052631578992,0.7480000000000027
91,0,44,67.5,0.6421052631578992,0.7480000000000027
92,0,44,68.5,0.6421052631578992,0.7480000000000027
93,0,44,69.5,0.6421052631578992,0.7480000000000027
94,0,44,70.5,0.6421052631578992,0.7480000000000027
95,0,44,71.5,0.6421052631578992,0.7480000000000027
96,0,44,72.5,0.6421052631578992,0.7480000000000027
97,0,44,73.5,0.6421052631578992,0.7480000000000027
98,0,44,74.5,0.6421052631578992,0.7480000000000027
